[],@maggieNYT When is Trump going pardon Blagojevich?,PopeGoodpope,
['SmartNews'],RT @LShackkeford: Nancy Pelosi's very big accusation against the White House - CNNPolitics #SmartNews  https://t.co/W1GeiirpNW,LShackkeford,United States
[],"RT @JuddLegum: Yes, the Buzzfeed article, if true, means Mueller has caught Trump committing multiple felonies to avoid the truth getting o…",DaniellaSatter,"New York, USA"
[],Nastya Rybka: Russia seizes model who made Trump collusion claim https://t.co/kRlQjz6M3p @BBCBreaking https://t.co/pDWtMyPoeF,TrueNewsDIngles,
[],"RT @princetyy_: *Government shutdowns* 

Trump: “What are you gonna cook for us today?” 

The White House Chef: https://t.co/2Dyx2tIzy0",Of_Noble_Mien,South Carolina
[],"""That Is a CRIME!""CNN’s Alisyn Camerota ANNIHILATE Trump on BuzzFeed’s B... https://t.co/sevckwoM5k via @YouTube",MickeyGMorris1,
[],RT @alaskanfighter: Congratulations Oresident Trump. We are so proud of you! Vote Trump 2020! https://t.co/2YoJ4HTMO7,dukemerle,
[],RT @funder: BREAKING: The House Intel and House Judiciary Committees both confirm they are opening up investigations in to reports that Tru…,Bronzekat13,Midwest - USA 
[],RT @Rambobiggs: Bull shit. Stfu fake news https://t.co/cPD71RhQ0q,Oma8612,
[],"RT @mmpadellan: Weird when you realize that 20 years ago, Bill Clinton was impeached for lying about a blow job.

Not for TREASON.
Not for…",JoVinaGoVin,"Modesto, CA"
[],"RT @funder: Wow. Trump canceled Speaker Pelosi’s plane and leaked info so they couldn’t even fly commercially into a war zone, and also mee…",YObzejta,"New Jersey, USA"
[],"RT @TheOfficerTatum: Trump is standing up for America when most will not. 

I support the shutdown. 

Congress get your ish together!!",CharlesBumgarn3,"bedford, Va."
[],"@NormOrnstein @SenatorRomney — already kissing Trumps a*s. 
Sad. Only been there a few weeks... joined the ‘Trump cult’",tweets_debs,USA  🇺🇸
[],"RT @sarahkendzior: This is the right move, Dems. Start the proceedings, get information into the public domain. Force transparency that is…",DexCMacB1,"Mayland, U.S.A"
[],"@SamScot11 What I like about you is that you're all opinion and no facts or logic whatsoever. Must be liberating!

https://t.co/vZ8iLjJivM",Remoaniac,"London, England"
[],"RT @DwyerWheelbrace: @realDonaldTrump Wall will sink what, 20,000,000,000 in the Texas desert? Invest it in Mexico to create jobs instead,…",DwyerWheelbrace,
[],"RT @CNN: In 2017, President Trump created an ""enemies list"" made up of members of his own administration, a former White House communicatio…",PaulHLindsey1,
[],RT @RepMikeQuigley: Coercing a witness to lie before Congress is the most serious example of obstruction of justice we’ve seen yet. To all…,ednamaemae,United States
[],"RT @AaronBlake: Trump team's collusion denials:

1) No contact
3) Contacts not *planned*
4) Okay planned, but not re: campaign
5) Okay, but…",iamboku,"Santa Barbara, California"
['Trump'],"God, I love this man, #Trump !!!!!",Papi_Trump,"Texas, USA"
[],"God, she's good.",LaniKaiDuck,"Portland, Oregon"
[],"RT @DrGJackBrown: 6/  Of profound importance is Trump's vocal emphasis as he says the word, ""work"" (during 3:26, ""Not only did I never WORK…",RussellSieg,
[],"RT @buzzman888: ⚠️ Warning ⚠️ 

Extremely Dangerous.
@AOC’s House Speech Ridiculing Trump Becomes C-Spans ‘Most Viewed Twitter Video’ EVER…",buzzman888,🇺🇸🇺🇸America The Beautiful🇺🇸🇺🇸
[],"RT @dbongino: Knowing what we now know about Andrew Weissmann‘s role in briefings about the discredited dossier in Mid-2016, how is that Bo…",VickieLFisher,"Washington, USA"
[],"@realDonaldTrump @FoxNews Cohen is the frosting on the cake...there are texts, documents, other witnesses, maybe ev… https://t.co/325AaHLlTf",katzoecat,
[],RT @essenviews: “Ms. Trump... was only minimally involved”:  Ivanka Trump issues carefully worded denial of BuzzFeed report on Trump Tower…,FancyNancy2018,"California, USA"
[],The guy is a modern-day Henry VIII.,JoshForNY,"Oyster Bay, NY"
[],"RT @SethAbramson: Everyone realizes Trump *also* told his *son* to lie to Congress, right? I mean, nobody is doubting that, based on the ev…",msGeek2000,Earth
[],RT @sarahkendzior: Part of the reason some people are reluctant to accept the sheer horrific scope of what the Trump admin does is lack of…,t_huntzz,ø ||9
[],"RT @PalmerReport: Donald Trump's day so far

- Nailed for suborning perjury
- Responds by threatening Michael Cohen's family
- Oops, that's…",kwente70,"Kentucky, USA"
[],RT @WayneDupreeShow: So wait. Adam Schiff is angry that Trump is forcing him to do his job? Perish the thought. https://t.co/q6GRpVaTuz,Rayreed15456358,United States
[],RT @aaronjmate: For some reason it's still considered objectionable to point out that no evidence has emerged of Trump-Russia collusion. Wo…,JSKirby3,"Wilderness, U.S.A.    Pol. Incorrect #DrainTheSwamp  FundTheWall.com    Never Forget #Benghazi  #WalkAway #WWG1WGA  List&DM's=Block"
[],"RT @Jim_Jordan: Summer 2016—Ohr talks w/ Steele. Ohr then meets with FBI and DOJ and tells them:

-Steele is “desperate Trump not win”
-Ste…",MinottJudith,
[],RT @romyreiner: Trump still doesn’t understand how this whole “president” thing works.,oneTRUTHTOPOWER,
[],"You cannot tell me that a Trump has a time marching and he has not
1. Inadvertently destroyed the world in a time m… https://t.co/2rbUufMkNX",JacksonTweetor,
[],"RT @xwordmark: Of course Cohen is going to say Trump told him to do it - it’s his only lifeline!

If it were true, why wouldn’t he use that…",dpretto33RTM,"Tennessee, USA"
[],RT @TheDweck: He has paid for more abortions than hamburgers https://t.co/PdOVZrJv7C,katieliza92,"Washington, DC"
[],"RT @Shakestweetz: So, Lindsey Graham is with Erdogan, Mike Pompeo's with North Korea, John Bolton is asking the Pentagon for plans to go to…",jonathan94002,"San Mateo, CA"
[],RT @natasharothwell: If BuzzFeed takes down Trump y'all gonna take those quizzes more seriously.,clarkgregg,All up in this place
[],"RT @jeremynewberger: Here is how we're gonna do this.

1. Trump needs to resign.
2. Pence too.
3. Pelosi becomes President.
4. Government t…",JaiyhanaB,Somewhere Minding my Business
[],RT @firouz72983897: @shaparak_19 @sanaz_sk British MPs have urged Trump to see their Twitter. Tramp had replayed the tweets of a British fa…,sanaz_sk,iran
[],"RT @kimmi_chelle: Romney, nor McCain would have ever had the gonads to do this!
THIS.... THIS is why WE stand with Trump 
Trump Postpones P…",BumbleVEEMe,Sheltered In The Arms Of #GOD!
[],RT @brianefallon: Trump said - on tape - he wanted to shut the down the government and would happily own it. The Democrats' position is mer…,ToplessTopics,"Portland, OR"
[],RT @gatewaypundit: PELOSI CONFRONTED! Stutters Through Response to Reporters! - Repeats Crackpot Claim That Trump Endangered Her Life (VIDE…,MrMScMan,
[],"RT @RedTRaccoon: The only tweet I want to see from @realDonaldTrump is...

Mr. Secretary,

Effective immediately, I hereby resign the Offic…",DLP75902038,
[],"RT @djrothkopf: Note: There will come a day when having anything to do with Trump, working with him, supporting him, or actively defending…",redboybroken,
[],@Drew_Hammill If trump could kill all Dems he would💯,raidernation162,
[],RT @RepBarbaraLee: Let’s be very clear what happened last night: President Trump was so desperate to score political points that he willful…,MzDIS,Watchin' the Tide Roll Away
[],RT @ChasingOzPhotog: Why is @LindseyGrahamSC in Turkey during the government shutdown but @SpeakerPelosi can’t visit NATO and our Troops?…,ITDad66,
[],RT @MichaelAvenatti: It is laughable that Michael Cohen now seeks to excuse away each of his illegal and unethical acts by simply claiming…,IrishDharmaDog,
[],"RT @JamesKosur: While I was commenting on how much this would piss Trump off Twitter user 
@HusbandLauri pointed out that ""Washington Feder…",ACIM_Student,Jersey Shore -Nothing like the show!
[],"RT @AshaRangappa_: As I mentioned on @NewDay, AG nominee Bill Barr’s memo basically lays out the legal theory roadmap for why Trump suborni…",MikeyMooseNC,"High Point, NC"
[],@pheadrick @DonaldJTrumpJr Congrats to the dumb M'fing TRAITOR TRUMP for most and longest government shutdowns… https://t.co/2kc8wabQfu,HingleM13834235,"Naperville, IL"
[],"RT @psychdr100: If Trump threatened journalists with murder, his supporters say, ""no problem"". Jack Dorsey won't say if tweet threatening m…",pirateannie16,
[],"RT @dick_nixon: Remember Mueller asked Trump a direct written question about what he told Cohen in regards to ""Russian real estate developm…",BradMasterson1,
[],RT @lancewallnau: Donald Trump will be first US president in 45 years to speak at pro-life march https://t.co/50wtNcGcGB,HHudek,
[],Everyone close your eyes and imagine life without trump as president.,MrTacoman7,"San Francisco, CA"
[],"@RanttMedia @RepJerryNadler @RepAdamSchiff @JoaquinCastrotx I don't want Trump to resign, because he can relocate t… https://t.co/mKnPZTEVti",hypatia264,in superposition
['Trump'],@grantstern @OccupyDemocrats Another #Trump dweeb.,David_J_Koch,"Jacksonville, FL"
[],RT @politicususa: Trump Embarrasses Himself By Canceling Trip Pelosi Wasn't Going On https://t.co/qghDBWkPTt via @politicususa,RayHa31988088,
[],RT @mvgal92691: Pelosi aide accuses Trump team of security threat by leaking new Afghanistan plans https://t.co/tPdPtDJn8p via @politico,bfitzinAR,
[],@realDonaldTrump @FoxNews Heres why it doesnt add up 1. Why would trump tell cohen to lie when there was no russian… https://t.co/zHuoGX9VRd,woodpayne,
[],"RT @LindseyGrahamSC: Revelations that Bruce Ohr told senior DOJ and FBI officials that dossier author Christopher Steele:
 
1) was biased a…",ColeenC123,"Franklin, TN"
[],"RT @brianbeutler: Mainstream news coverage of the shutdown is regressing back into a ""both sides dug in"" comfort zone. This is  a disservic…",jinxy51,
[],RT @NBCNews: BREAKING: Speaker Pelosi's office accuses Trump admin. of leaking commercial travel plans after the president canceled militar…,mijomojo1,"Tucson, AZ"
[],"RT @DavidNakamura: Trump is currently meeting in Oval with North Korea's lead nuclear negotiator, the nation's former spy chief who a South…",AnnRichards888,
[],"RT @kazweida: If @SpeakerPelosi is reading what I’m reading, I think we wake up to impeachment proceedings beginning in the house tomorrow.…",JanuaryHandl,
['BuildIt'],RT @Redhead4645: @realDonaldTrump @seanhannity They fear ur tenacity! U r the best President in Modern History! #BuildIt I remember Vera Co…,LoseyLaurice,The wilderness of the lost. 
[],RT @mcbyrne: And take Pence with him! Time for President Pelosi! https://t.co/r3WVcEGjpy,ReinventUrWork,
